Mes,Pasajeros
2007/01,4788
2007/02,4848
2007/03,5648
2007/04,4816
2007/05,5613
2007/06,5322
2007/07,5341
2007/08,5647
2007/09,5547
2007/10,5890
2007/11,6538
2007/12,6021
2008/01,5869
2008/02,6499
2008/03,5801
2008/04,6932
2008/05,6876
2008/06,6530
2008/07,6810
2008/08,7320
2008/09,7264
2008/10,9589
2008/11,9607
2008/12,9251
2009/01,9406
2009/02,9515
2009/03,10599
2009/04,9229
2009/05,11844
2009/06,15598
2009/07,13311
2009/08,11702
2009/09,11321
2009/10,11894
2009/11,11242
2009/12,10959
2010/01,10756
2010/02,10979
2010/03,12489
2010/04,11416
2010/05,12285
2010/06,11494
2010/07,12784
2010/08,13305
2010/09,12430
2010/10,13375
2010/11,12820
2010/12,12759
2011/01,12049
2011/02,11537
2011/03,13529
2011/04,11844
2011/05,13242
2011/06,12498
2011/07,12700
2011/08,13466
2011/09,12783
2011/10,13506
2011/11,13187
2011/12,12655
2012/01,12231
2012/02,12584
2012/03,13768
2012/04,12086
2012/05,13467
2012/06,12612
2012/07,12928
2012/08,14033
2012/09,13259
2012/10,13924
2012/11,13305
2012/12,12742
2013/01,13093
2013/02,13324
2013/03,13731
2013/04,14029
2013/05,14546
2013/06,13462
2013/07,13860
2013/08,14817
2013/09,13934
2013/10,15369
2013/11,14327
2013/12,13780
2014/01,13200
2014/02,13362
2014/03,14906
2014/04,13625
2014/05,14843
2014/06,13779
2014/07,14299
2014/08,15397
2014/09,14925
2014/10,16215
2014/11,15398
2014/12,15159
2015/01,14600
2015/02,14404
2015/03,15902
2015/04,14787
2015/05,15904
2015/06,14819
2015/07,15215
2015/08,15975
2015/09,15327
2015/10,16192
2015/11,15356
2015/12,14951
2016/01,13926
2016/02,14724
2016/03,14536
2016/04,15388
2016/05,15361
2016/06,14295
2016/07,14558
2016/08,16182
2016/09,15470
2016/10,15996
2016/11,15340
2016/12,14670
2017/01,14538
2017/02,14411
2017/03,15813
2017/04,14137
2017/05,15218
2017/06,13696
2017/07,13924
2017/08,15333
2017/09,15002
2017/10,16020
2017/11,15293
2017/12,14196
2018/01,13530
2018/02,14405
2018/03,15103
2018/04,14992
2018/05,16000
2018/06,14315
2018/07,14527
2018/08,16086
2018/09,15260
2018/10,16492
2018/11,15598
2018/12,14512
2019/01,14535
2019/02,14511
2019/03,14660
2019/04,14827
2019/05,16515
2019/06,14750
2019/07,15432
2019/08,17067
2019/09,15612
2019/10,17535
2019/11,16254
2019/12,15098
2020/01,15220
2020/02,15548
2020/03,12555
2020/04,5653
2020/05,4933
2020/06,7208
2020/07,7101
2020/08,7656
2020/09,7875
2020/10,8857
2020/11,8490
2020/12,8777
2021/01,7642
2021/02,6874
2021/03,8951
2021/04,8574
2021/05,9144
2021/06,9288
2021/07,9684
2021/08,9151
2021/09,9018
2021/10,10000
2021/11,10430
2021/12,10939
